,Sex,Survived
306,female,1
307,female,1
308,female,1
309,female,1
310,female,1
311,female,1
312,female,1
313,female,1
314,male,0
315,male,0
316,male,0
317,male,0
318,male,0
319,male,0
320,male,0
321,male,0
322,male,0
323,male,0
324,male,0
325,male,0
326,male,0
327,male,0
328,male,0
329,male,0
330,male,0
331,male,0
332,male,0
333,male,0
334,male,0
335,male,0
336,male,0
337,male,0
338,male,0
339,male,0
340,male,0
341,male,0
342,male,0
343,male,0
344,male,0
345,male,0
346,male,0
347,male,0
348,male,0
349,male,0
350,male,0
351,male,0
352,male,0
353,male,0
354,male,0
355,male,0
356,male,0
357,male,0
358,male,0
359,male,0
360,male,0
361,male,0
362,male,0
363,male,0
364,male,0
365,male,0
366,male,0
367,male,0
368,male,0
369,male,0
370,male,0
371,male,0
372,male,0
373,male,0
374,male,0
375,male,0
376,male,0
377,male,0
378,male,0
379,male,0
380,male,0
381,male,0
382,male,0
383,male,0
384,male,0
385,male,0
386,male,0
387,male,0
388,male,0
389,male,0
390,male,0
391,male,0
392,male,0
393,male,0
394,male,0
395,male,0
396,male,0
397,male,0
398,male,0
399,male,0
400,male,0
401,male,0
402,male,0
403,male,0
404,male,0
405,male,0
406,male,0
407,male,0
408,male,0
409,male,0
410,male,0
411,male,0
412,male,0
413,male,0
414,male,0
415,male,0
416,male,0
417,male,0
418,male,0
419,male,0
420,male,0
421,male,0
422,male,0
423,male,0
424,male,0
425,male,0
426,male,0
427,male,0
428,male,0
429,male,0
430,male,0
431,male,0
432,male,0
433,male,0
434,male,0
435,male,0
436,male,0
437,male,0
438,male,0
439,male,0
440,male,0
441,male,0
442,male,0
443,male,0
444,male,0
445,male,0
446,male,0
447,male,0
448,male,0
449,male,0
450,male,0
451,male,0
452,male,0
453,male,0
454,male,0
455,male,0
456,male,0
457,male,0
458,male,0
459,male,0
460,male,0
461,male,0
462,male,0
463,male,0
464,male,0
465,male,0
466,male,0
467,male,0
468,male,0
469,male,0
470,male,0
471,male,0
472,male,0
473,male,0
474,male,0
475,male,0
476,male,0
477,male,0
478,male,0
479,male,0
480,male,0
481,male,0
482,male,0
483,male,0
484,male,0
485,male,0
486,male,0
487,male,0
488,male,0
489,male,0
490,male,0
491,male,0
492,male,0
493,male,0
494,male,0
495,male,0
496,male,0
497,male,0
498,male,0
499,male,0
500,male,0
501,male,0
502,male,0
503,male,0
504,male,0
505,male,0
506,male,0
507,male,0
508,male,0
509,male,0
510,male,0
511,male,0
512,male,0
513,male,0
514,male,0
515,male,0
516,male,0
517,male,0
518,male,0
519,male,0
520,male,0
521,male,0
522,male,0
523,male,0
524,male,0
525,male,0
526,male,0
527,male,0
528,male,0
529,male,0
530,male,0
531,male,0
532,male,0
533,male,0
534,male,0
535,male,0
536,male,0
537,male,0
538,male,0
539,male,0
540,male,0
541,male,0
542,male,0
543,male,0
544,male,0
545,male,0
546,male,0
547,male,0
548,male,0
549,male,0
550,male,0
551,male,0
552,male,0
553,male,0
554,male,0
555,male,0
556,male,0
557,male,0
558,male,0
559,male,0
560,male,0
561,male,0
562,male,0
563,male,0
564,male,0
565,male,0
566,male,0
567,male,0
568,male,0
569,male,0
570,male,0
571,male,0
572,male,0
573,male,0
574,male,0
575,male,0
576,male,0
577,male,0
578,male,0
579,male,0
580,male,0
581,male,0
582,male,0
583,male,0
584,male,0
585,male,0
586,male,0
587,male,0
588,male,0
589,male,0
590,male,0
591,male,0
592,male,0
593,male,0
594,male,0
595,male,0
596,male,0
597,male,0
598,male,0
599,male,0
600,male,0
601,male,0
602,male,0
603,male,0
604,male,0
605,male,0
606,male,0
607,male,0
608,male,0
609,male,0
610,male,0
611,male,0
612,male,0
613,male,0
614,male,0
615,male,0
616,male,0
617,male,0
618,male,0
619,male,0
620,male,0
621,male,0
622,male,0
623,male,0
624,male,0
625,male,0
626,male,0
627,male,0
628,male,0
629,male,0
630,male,0
631,male,0
632,male,0
633,male,0
634,male,0
635,male,0
636,male,0
637,male,0
638,male,0
639,male,0
640,male,0
641,male,0
642,male,0
643,male,0
644,male,0
645,male,0
646,male,0
647,male,0
648,male,0
649,male,0
650,male,0
651,male,0
652,male,0
653,male,0
654,male,0
655,male,0
656,male,0
657,male,0
658,male,0
659,male,0
660,male,0
661,male,0
662,male,0
663,male,0
664,male,0
665,male,0
666,male,0
667,male,0
668,male,0
669,male,0
670,male,0
671,male,0
672,male,0
673,male,0
674,male,0
675,male,0
676,male,0
677,male,0
678,male,0
679,male,0
680,male,0
681,male,0
682,male,0
683,male,0
684,male,0
685,male,0
686,male,0
687,male,0
688,male,0
689,male,0
690,male,0
691,male,0
692,male,0
693,male,0
694,male,0
695,male,0
696,male,0
697,male,0
698,male,0
699,male,0
700,male,0
701,male,0
702,male,0
703,male,0
704,male,0
705,male,0
706,male,0
707,male,0
708,male,0
709,male,0
710,male,0
711,male,0
712,male,0
713,male,0
714,male,0
715,male,0
716,male,0
717,male,0
718,male,0
719,male,0
720,male,0
721,male,0
722,male,0
723,male,0
724,male,0
725,male,0
726,male,0
727,male,0
728,male,0
729,male,0
730,male,0
731,male,0
732,male,0
733,male,0
734,male,0
735,male,0
736,male,0
737,male,0
738,male,0
739,male,0
740,male,0
741,male,0
742,male,0
743,male,0
744,male,0
745,male,0
746,male,0
747,male,0
748,male,0
749,male,0
750,male,0
751,male,0
752,male,0
753,male,0
754,male,0
755,male,0
756,male,0
757,male,0
758,male,0
759,male,0
760,male,0
761,male,0
762,male,0
763,male,0
764,male,0
765,male,0
766,male,0
767,male,0
768,male,0
769,male,0
770,male,0
771,male,0
772,male,0
773,male,0
774,male,0
775,male,0
776,male,0
777,male,0
778,male,1
779,male,1
780,male,1
781,male,1
782,male,1
783,male,1
784,male,1
785,male,1
786,male,1
787,male,1
788,male,1
789,male,1
790,male,1
791,male,1
792,male,1
793,male,1
794,male,1
795,male,1
796,male,1
797,male,1
798,male,1
799,male,1
800,male,1
801,male,1
802,male,1
803,male,1
804,male,1
805,male,1
806,male,1
807,male,1
808,male,1
809,male,1
810,male,1
811,male,1
812,male,1
813,male,1
814,male,1
815,male,1
816,male,1
817,male,1
818,male,1
819,male,1
820,male,1
821,male,1
822,male,1
823,male,1
824,male,1
825,male,1
826,male,1
827,male,1
828,male,1
829,male,1
830,male,1
831,male,1
832,male,1
833,male,1
834,male,1
835,male,1
836,male,1
837,male,1
838,male,1
839,male,1
840,male,1
841,male,1
842,male,1
843,male,1
844,male,1
845,male,1
846,male,1
847,male,1
848,male,1
849,male,1
850,male,1
851,male,1
852,male,1
853,male,1
854,male,1
855,male,1
856,male,1
857,male,1
858,male,1
859,male,1
860,male,1
861,male,1
862,male,1
863,male,1
864,male,1
865,male,1
866,male,1
867,male,1
868,male,1
869,male,1
870,male,1
871,male,1
872,male,1
873,male,1
874,male,1
875,male,1
876,male,1
877,male,1
878,male,1
879,male,1
880,male,1
881,male,1
882,male,1
883,male,1
884,male,1
885,male,1
886,male,1
